Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
6,57,DeVonta Smith,WR,PHI,Kyle,"""Zach just asked me if we have kickers"" Stefan to group; ""I shot a 34 at forest park on 90",,,,,,,,,,,,,,,
6,58,Rhamondre Stevenson,RB,NE,Colin,"""Stefan, are you doing the 1/2 marathon?"" Kyle ""I'll be there"" Stefan ""You'll probably beat me. But you'd be pretty embarassed if I beat you."" ""I took Rhamondre. Someone told me that was a good pick"" Colin; no one said that here",,,,,,,,,,,,,,,
6,59,George Pickens,WR,PIT,Josh,,,,,,,,,,,,,,,,
6,60,D'Andre Swift,RB,CHI,Josh,,,,,,,,,,,,,,,,
7,61,George Kittle,TE,SF,Greg,"""Aw Greg your boy is sitting right there…Godwin"" Kyle; [Colin pestering Greg] ; ""I like that pick"" Stefan ""Fucking weird that weed chilled my shit"" Colin",,,,,,,,,,,,,,,
7,62,Diontae Johnson,WR,CAR,Joe,"[Stefan thinks Scott's turn is up because his draft board sucks]; ""See noone understands this"" Kyle ""Its really not that hard"" Stefan, as he keeps entering in picks in the wrong spots; [pace has slowed] ""Witte took 15 minutes for an Evan Engram pick"" Joe ""Keenan Allen is fat now"" Kyle ""He weighs like 240 pounds right now"" Stefan ""Jordan Love is going to tear up this year. You need a QB"" Stefan",,,,,,,,,,,,,,,
7,63,Keenan Allen,WR,CHI,Colin,"""Do you like that pick Stefan"" Colin ""No that may be the worst pick of the draft"" Stefan ""Is Diontae Johnson still available?"" Stefan",,,,,,,,,,,,,,,
7,64,Jaxon Smith-Njigba,WR,SEA,Kyle,"[Talk about JSN being good] ""I GOT TYREEK HILL ON MY SQUAD"" Colin confident; ""I hate my team. They are all old."" Colin [Colin lists out old players on his team in disgust]",,,,,,,,,,,,,,,
7,65,Chris Godwin,WR,TB,Elbe,"""I just took Keenan Allen"" Colin; ""I've got an old team"" Colin ""Experienced"" (optistically) Kyle",,,,,,,,,,,,,,,
7,66,Xavier Worthy,WR,KC,Witte,"""Was that Zach?"" Kyle ""Witte loves the Chiefs"" Stefan; ",,,,,,,,,,,,,,,
